PrecinctKey,Votes for Donna,Votes for Christine,Total,Vote Percentage,Margin
270101,141,120,261,0.5402298851,0.08045977011
270102,72,55,127,0.5669291339,0.1338582677
270103,118,77,195,0.6051282051,0.2102564103
270104,142,119,261,0.5440613027,0.08812260536
270105,15,17,32,0.46875,-0.0625
270106,259,116,375,0.6906666667,0.3813333333
270107,9,6,15,0.6,0.2
270108,16,12,28,0.5714285714,0.1428571429
270109,101,46,147,0.6870748299,0.3741496599
270110,19,7,26,0.7307692308,0.4615384615
270111,218,91,309,0.7055016181,0.4110032362
270113,2,5,7,0.2857142857,-0.4285714286
270201,115,69,184,0.625,0.25
270202,228,118,346,0.6589595376,0.3179190751
270203,131,151,282,0.4645390071,-0.07092198582
270204,106,55,161,0.6583850932,0.3167701863
270205,222,126,348,0.6379310345,0.275862069
270206,90,61,151,0.5960264901,0.1920529801
270207,135,78,213,0.6338028169,0.2676056338
270208,360,175,535,0.6728971963,0.3457943925
270209,372,175,547,0.6800731261,0.3601462523
270210,338,150,488,0.6926229508,0.3852459016
270301,38,30,68,0.5588235294,0.1176470588
270302,125,62,187,0.6684491979,0.3368983957
270303,174,120,294,0.5918367347,0.1836734694
270304,24,13,37,0.6486486486,0.2972972973
270305,60,64,124,0.4838709677,-0.03225806452
270306,75,35,110,0.6818181818,0.3636363636
270307,132,70,202,0.6534653465,0.3069306931
270308,87,37,124,0.7016129032,0.4032258065
270309,3,4,7,0.4285714286,-0.1428571429
270310,5,0,5,1,1
270311,33,32,65,0.5076923077,0.01538461538
270312,31,12,43,0.7209302326,0.4418604651
270313,60,69,129,0.4651162791,-0.06976744186
270314,56,50,106,0.5283018868,0.05660377358
270315,191,101,292,0.654109589,0.3082191781
270317,247,166,413,0.598062954,0.196125908
270401,26,22,48,0.5416666667,0.08333333333
270402,95,62,157,0.6050955414,0.2101910828
270404,184,124,308,0.5974025974,0.1948051948
270406,88,45,133,0.6616541353,0.3233082707
270408,260,179,439,0.5922551253,0.1845102506
270409,98,59,157,0.6242038217,0.2484076433
270410,64,33,97,0.6597938144,0.3195876289
4910119,160,158,318,0.5031446541,0.006289308176
4910122,120,129,249,0.4819277108,-0.03614457831
4910135,180,97,277,0.6498194946,0.2996389892
4910138,199,190,389,0.5115681234,0.02313624679
4910140,93,114,207,0.4492753623,-0.1014492754
4910145,170,65,235,0.7234042553,0.4468085106
4910146,356,308,664,0.5361445783,0.07228915663
4910147,240,173,413,0.5811138015,0.1622276029
4910149,151,93,244,0.618852459,0.237704918
4910150,119,99,218,0.5458715596,0.09174311927
4910151,162,123,285,0.5684210526,0.1368421053
4910152,155,82,237,0.6540084388,0.3080168776
4910160,183,152,335,0.5462686567,0.09253731343
4910162,173,126,299,0.5785953177,0.1571906355
4910172,90,127,217,0.4147465438,-0.1705069124
4910182,161,184,345,0.4666666667,-0.06666666667
4910185,115,85,200,0.575,0.15
4910186,152,90,242,0.6280991736,0.2561983471
4910189,179,123,302,0.5927152318,0.1854304636
4910190,219,225,444,0.4932432432,-0.01351351351
4910197,131,103,234,0.5598290598,0.1196581197
4910198,197,197,394,0.5,0
4910201,271,258,529,0.5122873346,0.02457466919
4910202,45,80,125,0.36,-0.28
4910204,262,211,473,0.5539112051,0.1078224101
4910206,64,61,125,0.512,0.024
4910207,98,76,174,0.5632183908,0.1264367816
4910216,156,128,284,0.5492957746,0.0985915493
4910218,180,162,342,0.5263157895,0.05263157895
4910253,161,128,289,0.5570934256,0.1141868512
4910254,139,139,278,0.5,0
4910259,217,147,364,0.5961538462,0.1923076923
4910263,206,137,343,0.6005830904,0.2011661808
4910264,184,145,329,0.5592705167,0.1185410334
4910266,268,155,423,0.63356974,0.2671394799
4910267,214,153,367,0.583106267,0.1662125341
4910273,167,160,327,0.5107033639,0.02140672783
4910274,355,219,574,0.618466899,0.2369337979
4910275,178,158,336,0.5297619048,0.05952380952
4910277,270,287,557,0.4847396768,-0.03052064632
4910278,291,250,541,0.5378927911,0.07578558226
4910283,186,164,350,0.5314285714,0.06285714286
4910287,227,201,428,0.5303738318,0.06074766355
4910305,110,111,221,0.4977375566,-0.004524886878
4910309,41,23,64,0.640625,0.28125
4910310,23,34,57,0.4035087719,-0.1929824561
4910311,61,42,103,0.5922330097,0.1844660194
4910312,90,72,162,0.5555555556,0.1111111111
4910314,139,132,271,0.5129151292,0.0258302583
4910330,202,144,346,0.5838150289,0.1676300578
4910331,157,119,276,0.5688405797,0.1376811594
4910332,150,142,292,0.5136986301,0.02739726027
4910333,125,136,261,0.4789272031,-0.04214559387
4910337,230,160,390,0.5897435897,0.1794871795
4910339,163,95,258,0.6317829457,0.2635658915
4910341,63,87,150,0.42,-0.16
4910342,33,27,60,0.55,0.1
4910343,187,193,380,0.4921052632,-0.01578947368
4910344,218,190,408,0.5343137255,0.06862745098
4910345,97,91,188,0.5159574468,0.03191489362
4910369,280,205,485,0.5773195876,0.1546391753
4910370,201,145,346,0.5809248555,0.161849711
4910371,85,100,185,0.4594594595,-0.08108108108
4910379,121,162,283,0.4275618375,-0.1448763251
4910381,181,289,470,0.385106383,-0.229787234
4910392,202,213,415,0.486746988,-0.0265060241
4910393,143,181,324,0.4413580247,-0.1172839506
4910395,125,90,215,0.5813953488,0.1627906977
4910396,277,417,694,0.3991354467,-0.2017291066
4910402,284,128,412,0.6893203883,0.3786407767
4910403,95,64,159,0.5974842767,0.1949685535
4910413,18,7,25,0.72,0.44
4910415,28,39,67,0.4179104478,-0.1641791045
4910420,384,234,618,0.6213592233,0.2427184466
4910423,185,114,299,0.618729097,0.237458194
4910424,165,164,329,0.5015197568,0.003039513678
4910425,5,7,12,0.4166666667,-0.1666666667
4910426,79,58,137,0.5766423358,0.1532846715
4910427,93,69,162,0.5740740741,0.1481481481
4910428,111,68,179,0.6201117318,0.2402234637
4910429,67,45,112,0.5982142857,0.1964285714
4910434,44,42,86,0.511627907,0.02325581395
4910436,12,16,28,0.4285714286,-0.1428571429
4910455,152,122,274,0.5547445255,0.1094890511
4910456,67,50,117,0.5726495726,0.1452991453
4910463,385,185,570,0.6754385965,0.350877193
4910480,350,207,557,0.6283662478,0.2567324955
4910484,310,184,494,0.6275303644,0.2550607287
4910488,151,107,258,0.5852713178,0.1705426357
4910489,247,178,425,0.5811764706,0.1623529412
4910490,95,69,164,0.5792682927,0.1585365854
4910491,321,179,500,0.642,0.284
4910368,197,158,355,0.5549295775,0.1098591549
4910394,268,335,603,0.4444444444,-0.1111111111